,0,1
100,2,후배들한테 잘해 줘 봤자 고마운 줄을 몰라. 
101,1,연애만 구 년째인데 결혼 이야기가 나오지 않아. 나이도 있는데 너무 초조해.
102,1,다음달 병원비가 진짜 많이 나왔어 .
103,1,이제야 노후 연금을 알아보고 준비하고 있어. 너무 늦은 건 아닐지 걱정돼.
104,1,너무 초조하다.
105,2,어제 남자친구랑 싸워서 종일 울었어. 속상해.
106,4,우리엄마는 내동생을 나보다 더 예뻐하는 것 같아서 질투나.
107,4,없는 것도 서러운데. 나쁜놈들.
108,4,난 그냥 이렇게 살다가 죽을 거야. 수술은 무슨 수술 돈이 어디 있다고.
109,0,올 연말에 가족들끼리 설경을 보기 위해 겨울 산행을 하기로 했어. 그런데 아이들이 나와 아내의 체력을 걱정하는 것 있지.
110,5,아빠가 자꾸 오빠 성적이랑 비교하면서 나보고 멍청이라고 해서 너무 화나.
111,3,친구랑 싸워서 기분이 안 좋아
112,4,친구로부터 남자친구가 예전에 학교폭력 가해자였다는 사실을 알았어.
113,4,요즘 가족관계 때문에 너무 괴로워.
114,1,우리 남편이 새로운 사업을 하겠대. 지금 나이가 몇인데.
115,4,나는 호텔조리학과에 가고 싶은데 어른들이 반대해서 곤란해.
116,5,나는 사람들 만나는 게 정말 피곤해.
117,4,친구들보다 내가 체력이 약해.
118,4,요즘은 일할 때 예전 같지 않아. 젊은 부하 직원들보다도 업무 처리 속도가 뒤떨어지는 것 같아.
119,0,회사에서 상여금이 나와서 너무 기뻐.
120,0,상사가 마음에 들지 않아서 오늘 퇴근 후에 입사 동기들이랑 상사 뒷말을 하면서 술을 마셨어. 후련하다.
121,5,돈만 열심히 버느라 벌써 내 나이가 이렇게 되는 줄도 몰랐다니 믿기지 않아.
122,1,내 병이 불치병이라 치료할 수 없대. 전 재산을 걸어도 좋으니 난 더 살고 싶어.
123,4,학교에 가기 싫어.
124,2,건강 하나는 자신 있다고 생각했는데 그렇지 않은 것 같아서 실망했어.
125,2,월급 받으면 일부 저축을 해야지 사고 싶은거 다 사는 딸 보면 속상해
126,0,오늘 회사에서 기분 좋은 일이 있었어.
127,5,오늘 최종 면접 합격 발표날이야! 너무 떨려.
128,5,학교 선생님이 내 성적보고 꿈을 무시해서 너무 화가 나.
129,3,은퇴 후에 일자리를 구하지 못해서 가족한테 미안하기도 하고 면목이 없어.
130,3,고령에 고혈압까지 있는데 노후준비가 안 되있으니 마음이 외로워.
131,5,시누이가 산 아파트 가 몇 억이나 올랐어! 정말 짜증나!
132,2,여자친구와의 연애가 가끔 힘들 때가 있어.
133,0,고장 난 노트북을 고치는 대신 아빠가 최신형으로 바꿔 주셔서 기뻐.
134,0,시험이 한 달이나 남았어. 천천히 공부하면 되겠다.
135,2,학교에서 나를 따돌리는 친구가 있어. 그런 애들이 나중에 커서 더 좋은 직장에 가고 더 돈을 많이 버는 직업을 가지게 될 것 같아서 짜증이 나.
136,1,나이가 들고 병이 있다보니 건강 및 죽음이 점점 다가오니 불안한 감정이 다가가와.
137,1,친구에게 비밀을 털어놓았는데 혹시나 다른 사람들한테 알려질까 봐 불안해.
138,3,나는 유미처럼 예쁘지도 똑똑하지도 않아. 그래서 선생님이 나에게 관심이 없는 거야.
139,4,기운 내시길 응원할게요.
140,5,나는 가난한데 내 친구는 부잣집이라서 나처럼 악착같이 살 필요가 없더라. 너무 억울해.
141,4,오늘 내 친구가 나랑 놀기로 했는데 나랑 싸운 친구랑 놀았어 지금 배신당했어.
142,2,내 단짝이 내신 때문에 다른 학교로 전학 간대.
143,5,학교에서 다른 아이들을 괴롭히는 애들을 보면 구역질이 나.
144,2,아들이 가족과 계속 대화를 거부해. 정말 가슴이 먹먹하고 답답하여 어찌할 바를 모르겠어.
145,2,자식들이 주는 용돈만으로 생활이 전혀 안 돼 너무 슬퍼.
146,0,오늘 동창회에 오랜만에 가서 친구들을 만나서 기뻐.
147,2,요즘 은퇴 이후에 경제적인 여유가 없을 것 같아 걱정이야.
148,4,결혼 후 수입이 들쭉날쭉하네. 
149,3,와이프 때문에 고민이 많아.
150,3,배가 너무 나와서 다이어트를 해볼까해.
151,2,여자 친구가 나 말고도 다른 사람을 만나고 있었어.
152,5,그 할머니께 연락이 안오네.
153,0,나 결혼식 때 친구 몇 명이나 올까? 나는 인간관계를 그동안 잘 해와서 아마 엄청 많이 올 거야.
154,3,애들이 나를 따돌리고 있어. 내가 학교폭력 피해자라는 게 한심하게 느껴져.
155,4,내가 조금만 걸어도 다리가 아파서 힘들어.
156,1,졸업한 지 벌써 일 년이 넘어가는데 아직도 취업을 못 했어.
157,4,이제 사람을 못 믿을 거 같아.
158,0,이제 친구관계가 편해.
159,4,돈이 없으니 사는게 너무 힘들다.
160,3,재수를 할지 그냥 점수대로 대학을 갈지 혼란스러워.
161,2,지난달에 투자했던 주식이 완전 마이너스가 되었어.
162,2,은퇴를 앞두고 생각해보니 후회되더라.
163,4,화장실에서 회사 여직원들이 날 욕하는 걸 들어서 상처받았어.
164,1,나는 돈 관리에 물러서 걱정이야.
165,0,이번에 계획한 프로젝트가 부장님께서 전폭적으로 지지해주셔서 성공적으로 끝났어.
166,2,요새 직장 일이 너무 많아서 힘들어.
167,2,내 꿈은 은퇴 후에 근교 시골에 전원주택을 짓고 사는 거였어.
168,5,아니 경력자만 뽑을거면 나같은 사람은 경력을 어디서 쌓으라는거야?
169,5,남친이 자꾸 뮤지컬 보러 가지 말라고 하는데 진심 짜증 난다.
170,3,내가 지금 다니는 회사에서 슬슬 퇴직하라고 눈치를 주는 것 같아 혼란스러워.
171,2,시도 때도 없이 눈에서 눈물이 나는 이유를 모르겠어. 시리고 아프지도 않은데 자주 눈물을 흘려.
172,4,건강관리하는게 정말 괴로워.
173,0,나 이번에 친한 친구랑 여행을 가기로 했어.
174,3,다이어트를 한다던 언니는 저녁만 되면 못 참고 야식을 먹어
175,3,오늘 반 아이들 여러 명이 나를 때렸어. 나 너무 힘들어.
176,1,있잖아. 얘기 좀 들어줘.
177,0,내가 하고 싶은 꿈이 생긴게 처음인데 정말 만족스러워.
178,3,주말에 쉬지도 못하고 회사에서 일을 했어.
179,1, 친구들 얘기 들어보니까 은퇴 후 귀촌하려고 시골에 땅을 사뒀더라고. 
180,1,나이를 먹어서 그런지 요즘 오른팔이 아프고 힘이 잘 안 들어가.
181,4,얼마 전 남편 사업이 실패해서 어렵게 마련한 아파트를 팔아서 너무 힘들어.
182,2,친구에게 실망했어
183,0,직장이 너무 좋아 상사분들도 다 좋으시고.
184,2,오늘 10년을 같이 일하던 동료가 퇴사 했어. 많이 의지하던 친구였는데.
185,2,돈이 왜 필요한지 염세적인 느낌이야.
186,4,현재 직장에서 일한 지 십 년이 넘어가니 상사에게 치이는 것도 부하직원이 치고 올라오는 것도 너무 힘드네요.
187,5,몇 년째 찾아오지 않는 자식들에게 일부러 나도 연락을 안 했어.
188,5,애인이 허락도 없이 내 핸드폰을 보고 있었어. 너무 화가 나.
189,4,요즘 소화도 안 되고 머리도 아프고 걸어 다니는 종합병원 같아.
190,0,공기 좋은 곳에서 요양하려고 사 놓았던 땅 값이 많이 올라서 정말 다행이야.
191,2,본부장님께서 다른 사람들 앞에서 날 꾸짖으셔서 낙담한 기분이 들어.
192,3,말도 안되. 같이 입사해서 같은 프로젝트를 하고 스펙도 나랑 비슷한데 길동이가 나보다 먼저 승진을 하다니.
193,0,내가 아끼는 보조배터리가 분명 엊그제까지만 해도 있었는데 안보이네.
194,4,가끔 경제적으로 여유로운 친구들이 부럽다는 생각을 자주해.
195,4,딸아이가 갑자기 휴학을 하겠다고 하네.
196,3,오늘 하지 정맥때문에 병원에 다녀왔어.
197,1,요즘 같은 시국에 친구들 만나기가 조심스러워.
198,4,맨날 부모님으로부터 명문대 진학한 오빠랑 비교되는 내가 싫어.
199,5,노후 준비를 위해서 가계 재정 관리를 직접 하고 있는데 아내와 의견 마찰이 있어서 성가셔.
200,3,운동회인데 기분이 너무 좋지 않아. 우울해
201,1,이 회사에서 내가 성장할 수 있을까? 못할 것 같아.
202,0,할머니가 나를 보시기 위해 집으로 오셨어.
203,1,다시 건강해질 수 있겠지?
204,5,지금의 가난에서 벗어나는 길은 죽음뿐이야.
205,5,얼마 전에 정년퇴직을 했어.
206,5,오늘 구역질 나는 걸 봤어.
207,5,나는 가족 먹이겠다고 돈만 벌어오는데 아내는 그 돈으로 동네 아줌마들과 도박을 한다네.
208,5,결혼을 신분상승의 기회로 삼는 친구를 욕했어.
209,3,십 년 전만해도 기부를 했는데 이제는 내가 기부를 받고 있는 처지가 되었으니 허망하고 속상하네.
210,1,입사 동기 친구는 퇴사해서 사장님 소리를 듣네.
211,2,은퇴 준비나 노후 준비는 남들과 비교가 되니 어떻게 해야 할지 모르겠어.
212,4,아이가 고등학생 남자아이라서 그런지 부모랑 말을 많이 안 하는 것 같아 걱정이야.
213,4,친구들이 나를 나쁘게 말하고 다녀서 화나고 억울해!
214,2,결혼하기로 약속한 남자가 있는데 그쪽 집안에서 나를 반대해. 내가 그 정도로 부족한 사람인가 하는 생각 때문에 요즘은 일도 손에 안 잡히고 종일 기분이 우울해.
215,5,신입 직원이 우리 부서의 스타일도 파악 못 하고 말도 안 되는 건의를 너무 많이 해서 거슬려.
216,2,나 좀 전에 비통한 소식을 들었어.
217,5,아내가 열사병으로 쓰러졌는데 근처 병원 문이 다 닫았어. 짜증 나!
218,1,전기세를 내지 않아서 집에 전기가 들어오지 않아.
219,0,결혼을 안 하고 혼자의 삶을 즐기는 이 삶이 나쁘지 않은 것 같아.
220,5,직장 상사에게 매일 혼나고 있어서 구역질 날 것 같아.
221,1,부모님께서 다시 사이가 안 좋아지실까 봐 두려워.
222,3,요즘 아들이 내 연락을 피하는 느낌이야. 도움을 요청한 곳이 아들밖에 없는데 이젠 어쩌지.
223,5,동창회에서 등산 모임을 만들었데.
224,3,알려준 지시사항대로 수정한 건데 기안서를 다시 올리라는 말에 크게 당황했어.
225,4,나 우리 가족이 날 버리고 멀리 떠났어.
226,5,오늘 점심시간에 같은 반 애들이 내 책상에 상한 우유를 쏟아놓았어.
227,1,남편이 요즘 기분이 안좋은거 같아 너무 걱정스러
228,5,가끔 나를 감정 쓰레기통으로 생각하는 친구들이 있는 것 같아.
229,5,남편이 지금도 밤마다 열정이 지나쳐서 불쾌해.
230,2,음식점 아르바이트를 하는데 시급을 안 올려줘서 낙담했어.
231,3,해달라는 대로 자식들을 해외 유학을 보내줬는데 빚만 잔뜩 생겨 당황스러워.
232,4,아이들은 왜 엄마만 따르고 나는 따르지 않을까?
233,0,우리 가족은 내가 공부할 땐 편안하게 해 줘.
234,4,장모님이 몹시 아프시다는데 너무 걱정이야.
235,0,이제 곧 정년이 다가오고 있어.
236,3,이직하려고 하는데 전 직장에서 연봉협상을 제시하네.
237,5,요즘 병원비가 많이들어서 걱정이네.
238,1,지금 이 직장에서 계속 일할 수 있을지 모르겠어.
239,2,친구가 없어서 너무 외로워.
240,0,난 오늘 기분이 좋아.
241,4,누군가가 내 험담을 할까 봐 걱정이야. 그런 감정 때문에 행동이 위축돼.
242,1,항상 나를 위협하는 친구와 함께 학교를 다니고 있는데 너무 두렵고 불안해.
243,3,가족들이 나만 소외시키는 느낌이 자꾸 들어.
244,2,내 정신질환을 상담해주던 의사선생님이 돌아가셔서 정말 가슴아파.
245,3,아프니까 도와줄 사람도 없고 힘들어.
246,3,어제 아이에게 크게 소리를 질렀어.
247,3,이제 은퇴가 얼마 남지 않았는데 노후 준비가 되지 않아서 걱정이야.
248,4,이제 건강에 대해 생각을 해야 될 나이인데...
249,0,오늘 친구랑 쌓였던 오해에 대해 얘기하고 풀었어.
250,5,이번에 합동 과제 하는데 복학생 선배가 얼렁뚱땅 아무것도 하지 않으려고 해서 짜증 나.
251,4,같은 시기에 결혼하는 친구는 시댁에서 집을 해주더라고. 너무 부러워.. 우리는 대출로 시작해.
252,0,적금 만기 환급금이 제법 많네.
253,1,노인정에서 친구들이 죽고 있어.
254,4,우리 손주들은 먼 곳에서 살고 있는데 옆집 할머니는 손주들과 살고 있어서 부럽고 질투가 나.
255,2,오늘 또 면접에서 떨어졌네.
256,5,결혼을 생각하면 구역질이나.
257,5,와이프와 결혼식장을 가야 하는데 비가 올 것 같아.
258,2,내가 괴롭힘을 당할 때면 언제든 찾아와 주겠다고 말해놓고 숨어버렸어. 속상해.
259,2,이번에 우리 과 친구가 교통사고로 죽었어.
260,1,개인적으로 연금보험을 들어갔는데 내가 모르고 해약을 해버렸어.
261,2,직장을 다니다 보니 감정이 마비된 기분이야.
262,4,너무 힘들다. 편해지기는커녕 갈수록 더 힘들어져.
263,0,드디어 나에게도 말을 걸어주고 밥도 같이 먹어주는 친구가 생겼어. 기쁘다.
264,1,친구와의 관계가 불완전한 것 같은 기분이야.
265,0,딸에게서 전화가 왔는데. 건강한 딸을 낳았대.
266,2,관절 기능 문제로 정형외과를 일주일에 세 번이나 갔어.
267,4,아. 이건 거짓말일거야.
268,4,아파서 병원에서 지내는데 아무도 날 신경 안 써. 인생이 외로워서 슬퍼.
269,2,오늘 키우던 강아지가 죽어서 너무 슬프다.
270,1,내 재정 상황을 보니 불안한 마음이 앞서.
271,3,일하는 중에 휴대폰이 울려서 너무 창피하네.
272,3,복지관에서 만난 이성친구가 있는데.
273,2,우리 부모님은 날 사랑하지 않으시는 것 같아 우울해.
274,1,진학하고 싶은 진로가 바뀐거 같아 당황스러워
275,5,자꾸 속이 미식거리고 구역질이 나는게 아무래도 체한 것 같아.
276,0,오늘도 학교에서 친구들한테 왕따를 당했어. 늘 있는 일이지만.
277,3,노인이 되고 몸이 아프니 외로워.
278,5,나는 또 지원금 선정 대상에서 제외되었나 봐.
279,5,우리 가족들만 생각하면 너무 안달나.
280,5,김 부장은 왜 맨날 나에게 본인 일을 떠넘기는 것인지 모르겠어.
281,5,내가 이러고 사는 게 맞나 싶어.
282,3,만성질환 까지는 아닌대 대인관계가 안좋아.
283,1,결혼에 회의적이야. 왜 해야 하나 싶네.
284,5,사람들은 건강에 좋다면 물불을 안 가리나 봐!
285,1,돈 쓰기가 너무 조심스러워.
286,3,교회 친구가 갑자기 절을 가자고 해.
287,5,남편과 이혼을 준비 중인데 공동명의로 해둔 재산이 많아서 번거롭네.
288,5,언니가 내 옷을 몰래 입고 나가서 화가 나서 언니한테 물을 쏟았어.
289,1,취업에 꼭 필요한 자격증 시험을 보고 결과를 기다리는 중이야. 떨어질까 봐 너무 걱정되고 초조한 마음이야.
290,1,내가 직장에서 소외당하는 느낌이야.
291,5,회사가 아무리 바빠도 여름 휴가를 못 간다는 게 말이 돼?
292,2,정말 중요한 회사 자료를 잃어버렸어.
293,2,내가 오늘 친한 친구랑 처음으로 싸웠어. 그 친구랑 다시는 친하게 지내지 못할까 봐 너무 불안해.
294,4,친구가 수업 시간에 방금 내용을 못 들어서  질문을 나에게 했는데 선생님이 떠들었다고 하시면서 혼을 내셨어.
295,3,요새 너무 외로워.
296,5,옷을 환불하러 갔는데 못해주겠다는 거 있지. 
297,4,와이프가 친구 남편이 좋은 차를 샀다고 말해서 부담스러워.
298,4,나도 다른친구들과 같이 시험문제를 맞춰보고싶은데 끼지를못하겠어
299,3,친구가 없어서 혼자 있을 때 너무 심심해.
300,1,내가 재정 관리를 잘 해왔나 싶네.
301,1,친구들과 더 잘 어울리기 위해서는 공부를 열심히 하면 안 된다는 생각에 너무 스트레스 받아.
302,3,돈이 없으니까 자꾸 남이 신경쓰여.
303,5,길에서 담배를 피우다 경찰에 걸린 친구가 난동을 부리는데 너무 어이가 없어.
304,3,결혼은 혐오스러워.
305,1,갑자기 남편에게 사고가 생겨서 병원비가 많이 들어 가게 생겼어.
306,1,내일 처음으로 출근하는데 너무 떨려.
307,4,요양원에 들어오고 사는 낙이 없어졌어.
308,4,주 할아버지가 나한테 이야기도 안하고 광진구로 이사를 갔어.
309,0,이제 자식들이 모두 취업도 결혼도 했어.
310,5,몸이 아픈데 아내랑 자식들은 돈만 쓰고 나는 돌봐주지도 않아.
311,1,나는 아직 결혼 생각이 없는데 결혼하라고 할까 봐 걱정이야.
312,3,이번에 형은 시험을 아주 잘 봤는데 나는 시험을 완전히 망쳐버렸어. 그런데 부모님 때문에 더 힘들어.
313,3,자식 신세를 져야하는 노후준비가 부끄러워.
314,4,친구랑 싸워서 너무 괴로워.
315,2,친구가 우울증으로 자살했대. 취업이 뭐길래 그런 선택까지 하게 됐을까 너무 슬퍼.
316,1,부모님이 내성적 때문에 싸웠는데 어떻게 해야 할지 모르겠어.
317,3,집에서는 고집불통에 까칠하기만 한 아이가 학교에서는 말도 없고 내성적이라니
318,0,오늘 기분이 엄청 좋아. 우리 학교에서 문제 일으키던 애가 전학 갔어.
319,3,옆집 남편은 명품백을 일년에 두개씩 사준대 .
320,2,친구가 내 앞에서 금전적인 고민을 토로하는 이유는 일부러 나를 약 올리는 거야.
321,3,시어머니가 자꾸 임신을 부추기시는데 남편은 내 마음도 몰라주고 너무 무심해.
322,1,아들하고 대화가 없어.
323,4,집에서 가족 간에 황당한 일이 있었어.
324,1,요즘 일하는 것이 부질없다는 생각이 많이 들어.
325,2,정년퇴임을 앞두고 있어서 그런지 다들 날 피하는 거 같아. 친하게 지내는 걸 어려워 해.
326,4,나는 칠십 평생 운동도 하고 건강하게 밥을 먹었는데 폐암 진단을 받았어.
327,5,엄마한테 영어과외 시켜달라 할라고.
328,5,상사가 항상 밖에서 받은 스트레스를 직장에서 푸는 것 같아서 나도 화가 나.
329,3,남편이 그동안 날 속이고 다른 여자를 만나왔어. 너무 혐오스러워.
330,3,오늘 병원을 다녀온 뒤로 너무 혼란스러워.
331,0,부모님이 물려주신 땅을 팔지 않고 놔두었는데 최근 땅 값이 크게 올라 돈을 벌게 되었어.
332,5,딸이 이번에도 취업에 실패했어. 계속해서 취업에 실패하니까 화가 나네.
333,4,이렇게 작은 집에 사는 사람은 나밖에 없을 것 같아.
334,0,최 영감은 나에게 빌린 돈을 꼭 갚을 사람이라고 믿어.
335,3,회사에서 새로운 업무를 맡게 되었는데 이해하기 힘들어.
336,4,취직이 너무 안되서 걱정이야.
337,5,같은 고시원에 사는 누군가가 이름 써놓은 내 반찬을 먹어버렸어. 지금 너무 화나.
338,2,남자들은 오십이 넘으면 다들 그렇게 쫀쫀해지나?  요즘 남편 꼴 보기가 싫어 죽겠어.
339,5,왜 사람은 할 게 많을까? 다 챙기는 거 너무 귀찮아.
340,1,취업 때문에 스트레스받아. 공채채용도 없어지고 어떻게 하면 좋을까?
341,2,자취를 시작한 딸이 걱정되고 불안한데 자주 전화해주지 않아서 슬퍼.
342,4,지금 죽으면 너무 억울할 것 같아.
343,4,취업으로 인해 기숙사에서 지내고 있는데 종종 가족들이 생각나 외로워.
344,1,오빠와 말싸움을 하다가 심한 말을 해버렸어. 어떡하지?
345,0,가족들이 여유로워 보이고 나두 행복해.
346,2,내 성적표를 엄마가 보고 한숨을 쉬셨어. 혼날 것 같아.
347,5,아내가 나 몰래 다른 돈을 모아서 관리하고 있었어.
348,1,난 공부는 진짜 취약해.
349,1,곧 퇴근인데 보고서 수정 요청이 들어올까 봐 불안해.
350,0,자주 듣던 라디오에 내 사연을 적어 보냈는데 당첨돼서 받은 돈으로 병원비를 해결할 수 있어서 정말 기뻐.
351,4,돈이 부족해서 노인 아르바이트를 신청했어. 그런데 이마저도 병을 이유로 거부당했어.
352,2,그동안 열심히 연습해온 마라톤 대회에서 옆집 김씨에게 일등을 뺏겨서 슬프고 비통해.
353,5,여자친구가 연락이 자꾸 두절 돼서 불안해.
354,5,상사가 내게 자꾸 같은 작업 수정을 요청해서 열 받아.
355,5,사람과의 만남을 다소 귀찮아 하시는 군요.
356,1,나의 실수로 회사가 큰 손해를 입었어. 처분이 어떻게 내려질지 몰라서 불안해.
357,1,내 학교 친구가 도막을 하는것 같아.
358,2,가족이 무슨 의미가 있나 싶어.
359,5,남편이 내가 천식으로 고생하는 것을 알면서도 천식치료제를 숨겨버렸어.
360,1,나이가 드니 주위에 친구들이 점점 없어져서 불안해.
361,2,나 코로나 때문에 직장에서 급여를 차감해서 너무 실망이야.
362,0,노인들을 위해 봉사하는 착한 청년들은 아마 다른 동네에는 없을 거야.
